objSecuencia;modSecuencia;objCodigo;objDescripcion;objUsuario;objFecha;objEstado;objFuncion;objRefMenu;objTypeObj
7;9;ABGT;Address Book Generic Text;10;2008-07-11 16:10:00;1;NULL;NULL;21
8;17;ACCGT;Accounts Generic Text;10;2008-07-11 16:10:00;1;NULL;NULL;21
9;17;ALDOCGT;Account Ledger Generic Text;10;2008-07-11 16:10:00;1;NULL;NULL;21
10;8;B0000002;Validate Ledger Type Options;10;2008-07-11 16:10:00;1;NULL;NULL;25
11;8;B0000003;Get F0011 Batch Header Info;10;2008-07-11 16:10:00;1;NULL;NULL;25
12;8;B0000004;Batch - Open On Initialization;10;2008-07-11 16:10:00;1;NULL;NULL;25
13;8;B0000006;Concatenate Object Subsidiary;10;2008-07-11 16:10:00;1;NULL;NULL;25
14;8;B0000007;Batch - Revise On Transaction Commitment;10;2008-07-11 16:10:00;1;NULL;NULL;25
15;8;B0000008;Batch - Revise On Exit;10;2008-07-11 16:10:00;1;NULL;NULL;25
16;8;B0000009;Get Next Journal Entry Line Number;10;2008-07-11 16:10:00;1;NULL;NULL;25
17;8;B0000011;Edit Fiscal Dates;10;2008-07-11 16:10:00;1;NULL;NULL;25
18;8;B0000012;Get Batch Type Constants;10;2008-07-11 16:10:00;1;NULL;NULL;25
19;8;B0000013;Validate Intercompany Account;10;2008-07-11 16:10:00;1;NULL;NULL;25
20;8;B0000015;Validate - Delete Business Unit;10;2008-07-11 16:10:00;1;NULL;NULL;25
21;8;B0000016;Batches - Update Batch Approval;10;2008-07-11 16:10:00;1;NULL;NULL;25
22;8;B0000018;Validate Date Pattern Deletion;10;2008-07-11 16:10:00;1;NULL;NULL;25
23;8;B0000019;Calculate Tax Authority Tax Amts;10;2008-07-11 16:10:00;1;NULL;NULL;25
24;8;B0000020;Update Bank Account/Vendor Number(F0030W);10;2008-07-11 16:10:00;1;NULL;NULL;25
25;8;B0000021;Format Subledger;10;2008-07-11 16:10:00;1;NULL;NULL;25
26;8;B0000022;Validate Date Pattern;10;2008-07-11 16:10:00;1;NULL;NULL;25
27;8;B0000023;Intercompany Settlements +;10;2008-07-11 16:10:00;1;NULL;NULL;25
28;8;B0000025;Calculate Tax Rate;10;2008-07-11 16:10:00;1;NULL;NULL;25
29;8;B0000026;Edit Exchange Rate Tolerance;10;2008-07-11 16:10:00;1;NULL;NULL;25
30;8;B0000027;CurrencyConvForAndDom;10;2008-07-11 16:10:00;1;NULL;NULL;25
31;8;B0000028;CurrencyConvSftRound;10;2008-07-11 16:10:00;1;NULL;NULL;25
32;8;B0000032;RetrieveCurrencyConvFlag;10;2008-07-11 16:10:00;1;NULL;NULL;25
33;8;B0000033;Get Exchange Rate;10;2008-07-11 16:10:00;1;NULL;NULL;25
34;8;B0000034;Concatenate Object and Subsidiary;10;2008-07-11 16:10:00;1;NULL;NULL;25
35;8;B0000035;Compare Object/Subsidiary String;10;2008-07-11 16:10:00;1;NULL;NULL;25
36;8;B0000036;Eff  Date for Curr Rate LT Curr Period;10;2008-07-11 16:10:00;1;NULL;NULL;25
37;8;B0000037;Retrieve Account Currency;10;2008-07-11 16:10:00;1;NULL;NULL;25
38;8;B0000041;Return Period End Dates;10;2008-07-11 16:10:00;1;NULL;NULL;25
39;8;B0000042;Batches;10;2008-07-11 16:10:00;1;NULL;NULL;25
40;8;B0000044;Get Annual Close Ledger Rules;10;2008-07-11 16:10:00;1;NULL;NULL;25
41;8;B0000045;Convert Math Numeric to String;10;2008-07-11 16:10:00;1;NULL;NULL;25
42;8;B0000046;Validate AAI;10;2008-07-11 16:10:00;1;NULL;NULL;25
43;8;B0000047;Retrieve Company Address;10;2008-07-11 16:10:00;1;NULL;NULL;25
44;8;B0000048;Convert Character to Integer;10;2008-07-11 16:10:00;1;NULL;NULL;25
45;8;B0000049;Convert Character to Math Numeric;10;2008-07-11 16:10:00;1;NULL;NULL;25
46;8;B0000050;Calculate Recurring Date;10;2008-07-11 16:10:00;1;NULL;NULL;25
47;8;B0000051;Get Company Name;10;2008-07-11 16:10:00;1;NULL;NULL;25
48;8;B0000055;ValidateAAICompletely;10;2008-07-11 16:10:00;1;NULL;NULL;25
49;8;B0000056;Check EDI Successfully Process;10;2008-07-11 16:10:00;1;NULL;NULL;25
50;8;B0000057;Update AP Post Status;10;2008-07-11 16:10:00;1;NULL;NULL;25
51;8;B0000058;Verify Next Number Fiscal Year;10;2008-07-11 16:10:00;1;NULL;NULL;25
52;8;B0000059;RetrieveCoFiscalPtnCode;10;2008-07-11 16:10:00;1;NULL;NULL;25
53;8;B0000060;Verify Company in Next Number;10;2008-07-11 16:10:00;1;NULL;NULL;25
54;8;B0000062;Accounts Payable Payment Pre Post;10;2008-07-11 16:10:00;1;NULL;NULL;25
55;8;B0000063;Is Column Key Company;10;2008-07-11 16:10:00;1;NULL;NULL;25
56;8;B0000064;Clear Variable Numerator Work File;10;2008-07-11 16:10:00;1;NULL;NULL;25
57;8;B0000067;Retrieve Company Business Unit Type;10;2008-07-11 16:10:00;1;NULL;NULL;25
58;8;B0000068;Delete F09UI005 Records;10;2008-07-11 16:10:00;1;NULL;NULL;25
59;8;B0000069;Retrieve Ledger Type Currency;10;2008-07-11 16:10:00;1;NULL;NULL;25
60;8;B0000070;Retrieve Zero Company AAI;10;2008-07-11 16:10:00;1;NULL;NULL;25
61;8;B0000071;Get Tax Rates Processing Options;10;2008-07-11 16:10:00;1;NULL;NULL;25
62;8;B0000072;Batch To Detail;10;2008-07-11 16:10:00;1;NULL;NULL;25
63;8;B0000073;Delete F09UI006 Records;10;2008-07-11 16:10:00;1;NULL;NULL;25
64;8;B0000075;Update Batch Transaction File;10;2008-07-11 16:10:00;1;NULL;NULL;25
65;8;B0000076;Delete Batch Header;10;2008-07-11 16:10:00;1;NULL;NULL;25
66;8;B0000078;Format User Date;10;2008-07-11 16:10:00;1;NULL;NULL;25
67;8;B0000080;Update A/R Post Status Flags;10;2008-07-11 16:10:00;1;NULL;NULL;25
68;8;B0000083;Convert Math Numeric to String with Left Zero Pad;10;2008-07-11 16:10:00;1;NULL;NULL;25
69;8;B0000086;F0008B  Edit 52 Periods;10;2008-07-11 16:10:00;1;NULL;NULL;25
70;8;B0000091;F0012D Get AAI Translation;10;2008-07-11 16:10:00;1;NULL;NULL;25
71;8;B0000092;Batch Type Information;10;2008-07-11 16:10:00;1;NULL;NULL;25
72;8;B0000094;F0018 Update Sales/Use/Vat Tax;10;2008-07-11 16:10:00;1;NULL;NULL;25
73;8;B0000095;Format Company Number;10;2008-07-11 16:10:00;1;NULL;NULL;25
74;8;B0000096;Update Transmission Date;10;2008-07-11 16:10:00;1;NULL;NULL;25
75;8;B0000098;Validate Post Edit Code;10;2008-07-11 16:10:00;1;NULL;NULL;25
76;8;B0000099;F0010 Validate Delete Company;10;2008-07-11 16:10:00;1;NULL;NULL;25
77;8;B0000102;AICU, Get Display Decimal Value from DD;10;2008-07-11 16:10:00;1;NULL;NULL;25
78;8;B0000103;F0012D Update AAI Translation;10;2008-07-11 16:10:00;1;NULL;NULL;25
79;8;B0000104;F0012D Edit AAI Translation;10;2008-07-11 16:10:00;1;NULL;NULL;25
80;8;B0000105;F0006D Update Business Unit Translation;10;2008-07-11 16:10:00;1;NULL;NULL;25
81;8;B0000106;F0006D Get Business Unit Translation;10;2008-07-11 16:10:00;1;NULL;NULL;25
82;8;B0000107;F0006D Edit Business Unit Translation;10;2008-07-11 16:10:00;1;NULL;NULL;25
83;8;B0000108;Post Edit Code Edit;10;2008-07-11 16:10:00;1;NULL;NULL;25
84;8;B0000111;Is JE In Balance;10;2008-07-11 16:10:00;1;NULL;NULL;25
85;8;B0000112;Is Voucher Journal Entry In Balance;10;2008-07-11 16:10:00;1;NULL;NULL;25
86;8;B0000113;Currency Codes Set;10;2008-07-11 16:10:00;1;NULL;NULL;25
87;8;B0000115;AAI Range Of Accounts +;10;2008-07-11 16:10:00;1;NULL;NULL;25
88;8;B0000117;Post Multiple Batches - Subsystem;10;2008-07-11 16:10:00;1;NULL;NULL;25
89;8;B0000118;F0901 - Get Alternative Description;10;2008-07-11 16:10:00;1;NULL;NULL;25
90;8;B0000122;Post To F0902;10;2008-07-11 16:10:00;1;NULL;NULL;25
91;8;B0000124;Format Units Ledger Type;10;2008-07-11 16:10:00;1;NULL;NULL;25
92;8;B0000125;Accumulate Amount;10;2008-07-11 16:10:00;1;NULL;NULL;25
93;8;B0000126;Retrieve System Constants - G/L;10;2008-07-11 16:10:00;1;NULL;NULL;25
94;8;B0000127;Return todays date in JDEDATE format;10;2008-07-11 16:10:00;1;NULL;NULL;25
95;8;B0000128;Retrieve Company Currency Code;10;2008-07-11 16:10:00;1;NULL;NULL;25
96;8;B0000129;Retrieve Currency Decimals;10;2008-07-11 16:10:00;1;NULL;NULL;25
97;8;B0000130;Retrieve Company From Business Unit;10;2008-07-11 16:10:00;1;NULL;NULL;25
98;8;B0000131;Retrieve Currency Conversion;10;2008-07-11 16:10:00;1;NULL;NULL;25
99;8;B0000132;Update Currency Conversion;10;2008-07-11 16:10:00;1;NULL;NULL;25
100;8;B0000133;Validate Transaction Currency Code;10;2008-07-11 16:10:00;1;NULL;NULL;25
101;8;B0000138;Accumulate Total Amount;10;2008-07-11 16:10:00;1;NULL;NULL;25
102;8;B0000139;Calculate Remaining Amount Total;10;2008-07-11 16:10:00;1;NULL;NULL;25
103;8;B0000140;Edit Tax Rate/Area;10;2008-07-11 16:10:00;1;NULL;NULL;25
104;8;B0000141;Transaction Control Store and Forward;10;2008-07-11 16:10:00;1;NULL;NULL;25
105;8;B0000143;Change Date;10;2008-07-11 16:10:00;1;NULL;NULL;25
106;8;B0000145;Validate Amount or Unit Ledger Type;10;2008-07-11 16:10:00;1;NULL;NULL;25
107;8;B0000148;Get User Language Preference;10;2008-07-11 16:10:00;1;NULL;NULL;25
108;8;B0000149;Is Date A Work Date;10;2008-07-11 16:10:00;1;NULL;NULL;25
109;8;B0000150;Advance Work Days;10;2008-07-11 16:10:00;1;NULL;NULL;25
110;8;B0000154;Retrieve Correct Century;10;2008-07-11 16:10:00;1;NULL;NULL;25
111;8;B0000156;Edit String for Period or Date;10;2008-07-11 16:10:00;1;NULL;NULL;25
112;8;B0000157;Post By Currency Determine;10;2008-07-11 16:10:00;1;NULL;NULL;25
113;8;B0000159;Edit Duplicate G/L Bank Accounts;10;2008-07-11 16:10:00;1;NULL;NULL;25
114;8;B0000163;Calculate Advanced Payment Terms Due Date;10;2008-07-11 16:10:00;1;NULL;NULL;25
115;8;B0000164;Currency Decimals;10;2008-07-11 16:10:00;1;NULL;NULL;25
116;8;B0000165;WildCard Number of Elements Count;10;2008-07-11 16:10:00;1;NULL;NULL;25
117;8;B0000166;WildCard Filter Compare;10;2008-07-11 16:10:00;1;NULL;NULL;25
118;8;B0000167;F0008 Get Date Pattern Record;10;2008-07-11 16:10:00;1;NULL;NULL;25
119;8;B0000168;F70UI001 Delete Work File Detail;10;2008-07-11 16:10:00;1;NULL;NULL;25
120;8;B0000169;F4008 Edit Tax Rate Effective Dates;10;2008-07-11 16:10:00;1;NULL;NULL;25
121;8;B0000170;BalanceConvertedPayItems;10;2008-07-11 16:10:00;1;NULL;NULL;25
122;8;B0000171;Decrement Date One Month;10;2008-07-11 16:10:00;1;NULL;NULL;25
123;8;B0000172;F00151 Get Conversion Method;10;2008-07-11 16:10:00;1;NULL;NULL;25
124;8;B0000173;Determine Date, Conversion Method and Rates;10;2008-07-11 16:10:00;1;NULL;NULL;25
125;8;B0000175;Get Next Transaction Number;10;2008-07-11 16:10:00;1;NULL;NULL;25
126;8;B0000176;Add Transaction To Subsystem Queue;10;2008-07-11 16:10:00;1;NULL;NULL;25
127;8;B0000178;Interoperability, Launch Vendor-Specific UBE;10;2008-07-11 16:10:00;1;NULL;NULL;25
128;8;B0000182;Initialize Environment for Vendor Business Functions;10;2008-07-11 16:10:00;1;NULL;NULL;25
129;8;B0000183;Free Environment for Vendor Business Function;10;2008-07-11 16:10:00;1;NULL;NULL;25
130;8;B0000184;Zero Trim Pay Type;10;2008-07-11 16:10:00;1;NULL;NULL;25
131;8;B0000185;Zero Pad Pay Type;10;2008-07-11 16:10:00;1;NULL;NULL;25
132;8;B0000186;Parent Child Business Units +;10;2008-07-11 16:10:00;1;NULL;NULL;25
133;8;B0000190;Math Divide Controlled by User;10;2008-07-11 16:10:00;1;NULL;NULL;25
134;8;B0000192;Call Vendor-Specific Function;10;2008-07-11 16:10:00;1;NULL;NULL;25
135;8;B0000193;Increment-Decrement Numeric Character (0-9);10;2008-07-11 16:10:00;1;NULL;NULL;25
136;8;B0000194;Update Unedited Transaction Table As Processed;10;2008-07-11 16:10:00;1;NULL;NULL;25
137;8;B0000195;Maintain Processing Log Table;10;2008-07-11 16:10:00;1;NULL;NULL;25
138;8;B0000196;Use Report Data Selection;10;2008-07-11 16:10:00;1;NULL;NULL;25
139;8;B0000197;MathNumeric Structure Conversion;10;2008-07-11 16:10:00;1;NULL;NULL;25
140;8;B0000198;Set Currency Code and Decimals;10;2008-07-11 16:10:00;1;NULL;NULL;25
141;8;B0000200;Date/Numeric Conversion Routine;10;2008-07-11 16:10:00;1;NULL;NULL;25
142;8;B0000202;Rename Table;10;2008-07-11 16:10:00;1;NULL;NULL;25
143;8;B0000203;F0006 Update Bus. Unit Category Codes from Address Book;10;2008-07-11 16:10:00;1;NULL;NULL;25
144;8;B0000204;F0004 Validate UDC Value;10;2008-07-11 16:10:00;1;NULL;NULL;25
145;8;B0000205;F0030 Get Bank Transit Information;10;2008-07-11 16:10:00;1;NULL;NULL;25
146;8;B0000206;AA, Get Display Decimal Value from DD;10;2008-07-11 16:10:00;1;NULL;NULL;25
147;8;B0000208;Create Tax Reconciliation File;10;2008-07-11 16:10:00;1;NULL;NULL;25
148;8;B0000209;Tax Cache Store Amounts;10;2008-07-11 16:10:00;1;NULL;NULL;25
149;8;B0000283;Calculate Discount Amount No Tax;10;2008-07-11 16:10:00;1;NULL;NULL;25
150;8;B0000284;Default Discount Taken to Discount Avail;10;2008-07-11 16:10:00;1;NULL;NULL;25
151;8;B0000285;Swiss - Calculate Modulo 10 Check Digit;10;2008-07-11 16:10:00;1;NULL;NULL;25
152;8;B0000302;StringWithinEBCDICRange;10;2008-07-11 16:10:00;1;NULL;NULL;25
153;8;B0000307;Purge Tax Authority Work Files;10;2008-07-11 16:10:00;1;NULL;NULL;25
154;8;B0000310;Company Real Time Notification Outbound Wrapper;10;2008-07-11 16:10:00;1;NULL;NULL;25
155;8;B0000323;Retrieve Budget Amount;10;2008-07-11 16:10:00;1;NULL;NULL;25
156;8;B0000378;Is Column In Ledger Type Table;10;2008-07-11 16:10:00;1;NULL;NULL;25
157;8;B0000399;Currency Decimal Shift;10;2008-07-11 16:10:00;1;NULL;NULL;25
158;8;B0000400;F20112 Split Charges Cache;10;2008-07-11 16:10:00;1;NULL;NULL;25
159;8;B0000500;Algebraic Expression Calculate;10;2008-07-11 16:10:00;1;NULL;NULL;25
160;8;B0000501;Algebraic Expression Builder;10;2008-07-11 16:10:00;1;NULL;NULL;25
161;8;B0000560;Convert Integer to Math Numeric;10;2008-07-11 16:10:00;1;NULL;NULL;25
162;8;B0000564;Get Internal Next Number;10;2008-07-11 16:10:00;1;NULL;NULL;25
163;8;B0000580;Convert String to Math Numeric;10;2008-07-11 16:10:00;1;NULL;NULL;25
164;8;B0000590;Check String is Numeric;10;2008-07-11 16:10:00;1;NULL;NULL;25
165;8;B0000600;F0006 Business Unit Real Time Event Notification;10;2008-07-11 16:10:00;1;NULL;NULL;25
166;8;B0000603;Set Reservation Text Substitution Error;10;2008-07-11 16:10:00;1;NULL;NULL;25
167;8;B0000605;Math Numeric Round Scientific;10;2008-07-11 16:10:00;1;NULL;NULL;25
168;8;B0000700;Parse UDC Code SY|RT|KY;10;2008-07-11 16:10:00;1;NULL;NULL;25
169;8;B0000710;Determine XPI Currency Exchange Rates;10;2008-07-11 16:10:00;1;NULL;NULL;25
170;8;B0000890;Online Support P00890 - Business Functions;10;2008-07-11 16:10:00;1;NULL;NULL;25
171;8;B0000950;Hyper Exit / Tab Exit Security;10;2008-07-11 16:10:00;1;NULL;NULL;25
172;8;B0000951;Strip Out Path;10;2008-07-11 16:10:00;1;NULL;NULL;25
173;8;B0000952;Get Prepayment Authorization;10;2008-07-11 16:10:00;1;NULL;NULL;25
174;8;B0000953;Check Credit Card Number;10;2008-07-11 16:10:00;1;NULL;NULL;25
175;8;B0000954;Cache Process Prepayment Records;10;2008-07-11 16:10:00;1;NULL;NULL;25
176;8;B0000955;CallThirdPartyAuthorization;10;2008-07-11 16:10:00;1;NULL;NULL;25
177;8;B0000956;CallThirdPartySettlement;10;2008-07-11 16:10:00;1;NULL;NULL;25
178;8;B0000957;Call to JDB_SetRequestTriggerOption;10;2008-07-11 16:10:00;1;NULL;NULL;25
179;8;B0000958;Set Currency Trigger by User;10;2008-07-11 16:10:00;1;NULL;NULL;25
180;8;B0000959;Void Prepayment Transaction;10;2008-07-11 16:10:00;1;NULL;NULL;25
181;8;B0001000;Get Prepayment Settlement;10;2008-07-11 16:10:00;1;NULL;NULL;25
182;8;B0001001;Call Additional Purge Program;10;2008-07-11 16:10:00;1;NULL;NULL;25
183;8;B0001002;Copy Text to Text File;10;2008-07-11 16:10:00;1;NULL;NULL;25
184;8;B0001003;Import Text to Text Processor;10;2008-07-11 16:10:00;1;NULL;NULL;25
185;8;B0001010;Next Number Range Retrieval;10;2008-07-11 16:10:00;1;NULL;NULL;25
186;8;B0001011;F0002 Get Use Description;10;2008-07-11 16:10:00;1;NULL;NULL;25
187;8;B0001020;Allow Next Number Entry;10;2008-07-11 16:10:00;1;NULL;NULL;25
188;8;B0001030;Distributed Next Number Retrieval;10;2008-07-11 16:10:00;1;NULL;NULL;25
189;8;B0001040;ADG Retrieve Media Object Generic Key;10;2008-07-11 16:10:00;1;NULL;NULL;25
190;8;B0001050;Generate Text Substitution Tags;10;2008-07-11 16:10:00;1;NULL;NULL;25
191;8;B0001060;Retrieve Process and Transaction IDs;10;2008-07-11 16:10:00;1;NULL;NULL;25
192;8;B0001070;Get Detached Mode Flag;10;2008-07-11 16:10:00;1;NULL;NULL;25
193;8;B0001100;Get Exchange Rate With Environment;10;2008-07-11 16:10:00;1;NULL;NULL;25
194;8;B0001200;Ledger Type Text Substitution;10;2008-07-11 16:10:00;1;NULL;NULL;25
195;8;B0001201;IBAN Validation;10;2008-07-11 16:10:00;1;NULL;NULL;25
196;8;B0001210;Format Amount for International Payment Instruction (IPI);10;2008-07-11 16:10:00;1;NULL;NULL;25
197;8;B0001211;Concatenate Up to Five Strings a Specified Length;10;2008-07-11 16:10:00;1;NULL;NULL;25
198;8;B0001220;Verify Subledger Search and Select Exists;10;2008-07-11 16:10:00;1;NULL;NULL;25
199;8;B000700;Shop Floor Calender - Validation;10;2008-07-11 16:10:00;1;NULL;NULL;25
200;9;B0100001;RelatedNumbersTrigger;10;2008-07-11 16:10:00;1;NULL;NULL;25
201;9;B0100002;A/B - Get Parent Address;10;2008-07-11 16:10:00;1;NULL;NULL;25
202;9;B0100003;Add Parent/Child Record;10;2008-07-11 16:10:00;1;NULL;NULL;25
203;9;B0100004;GetAn8F0115Phone;10;2008-07-11 16:10:00;1;NULL;NULL;25
204;9;B0100005;UpdateAn8F0115Phone;10;2008-07-11 16:10:00;1;NULL;NULL;25
205;9;B0100007;IsLongAccountUnique;10;2008-07-11 16:10:00;1;NULL;NULL;25
206;9;B0100008;A/B Server - Parent/Child Server;10;2008-07-11 16:10:00;1;NULL;NULL;25
207;9;B0100009;Create Compressed Description;10;2008-07-11 16:10:00;1;NULL;NULL;25
208;9;B0100010;Check Effective Date Flag;10;2008-07-11 16:10:00;1;NULL;NULL;25
209;9;B0100011;Error Message Processor to PPAT System;10;2008-07-11 16:10:00;1;NULL;NULL;25
210;9;B0100013;Get Company from CC from AB #;10;2008-07-11 16:10:00;1;NULL;NULL;25
211;9;B0100015;Get A/B info for A/R and A/P;10;2008-07-11 16:10:00;1;NULL;NULL;25
212;9;B0100016;Scrub Address Number;10;2008-07-11 16:10:00;1;NULL;NULL;25
213;9;B0100017;Check the AB Delete;10;2008-07-11 16:10:00;1;NULL;NULL;25
214;9;B0100018;Get A/B Constants;10;2008-07-11 16:10:00;1;NULL;NULL;25
215;9;B0100019;Get Address Effective Date;10;2008-07-11 16:10:00;1;NULL;NULL;25
216;9;B0100021;Formatted Addresses;10;2008-07-11 16:10:00;1;NULL;NULL;25
217;9;B0100022;A/B Vendor Currency Amounts;10;2008-07-11 16:10:00;1;NULL;NULL;25
218;9;B0100023;Get Customer Amounts & Dates from F0301 or F03B01;10;2008-07-11 16:10:00;1;NULL;NULL;25
219;9;B0100024;Convert Transaction Amt to Customer Ccy & Upd F0301;10;2008-07-11 16:10:00;1;NULL;NULL;25
220;9;B0100025;Initialize PPAT Error Message API;10;2008-07-11 16:10:00;1;NULL;NULL;25
221;9;B0100026;Get AB Reporting Codes;10;2008-07-11 16:10:00;1;NULL;NULL;25
222;9;B0100027;Update EFTF in F0116;10;2008-07-11 16:10:00;1;NULL;NULL;25
223;9;B0100028;AB - Server - Called From Parent/Child;10;2008-07-11 16:10:00;1;NULL;NULL;25
224;9;B0100031;Retrieve mailing name;10;2008-07-11 16:10:00;1;NULL;NULL;25
225;9;B0100032;Get Phone;10;2008-07-11 16:10:00;1;NULL;NULL;25
226;9;B0100033;Get Effective Address;10;2008-07-11 16:10:00;1;NULL;NULL;25
227;9;B0100034;Delete Phones;10;2008-07-11 16:10:00;1;NULL;NULL;25
228;9;B0100035;Add Mailing Name to AB;10;2008-07-11 16:10:00;1;NULL;NULL;25
229;9;B0100036;Add and/or Update Effective Address;10;2008-07-11 16:10:00;1;NULL;NULL;25
230;9;B0100037;Previous Effective Address Date;10;2008-07-11 16:10:00;1;NULL;NULL;25
231;9;B0100038;Retrieve Next Effective Address from F0116;10;2008-07-11 16:10:00;1;NULL;NULL;25
232;9;B0100039;Is Address Number in Address Book Master Table;10;2008-07-11 16:10:00;1;NULL;NULL;25
233;9;B0100040;Check  For Address Book  Duplicates;10;2008-07-11 16:10:00;1;NULL;NULL;25
234;9;B0100044;Set NER Return Code;10;2008-07-11 16:10:00;1;NULL;NULL;25
235;9;B0100049;F0150 Create Parent/Child Address Book Cache;10;2008-07-11 16:10:00;1;NULL;NULL;25
236;9;B0100050;Cache, Process Address Book Tree;10;2008-07-11 16:10:00;1;NULL;NULL;25
237;9;B0100051;Error Message - Determine If Errors Exist;10;2008-07-11 16:10:00;1;NULL;NULL;25
238;9;B0100052;Address Book - PO Template for MBF;10;2008-07-11 16:10:00;1;NULL;NULL;25
239;9;B0100055;F01815 - Clear Table and Occurrences;10;2008-07-11 16:10:00;1;NULL;NULL;25
240;9;B0100056;F03012 - Update A/R Data on Customer Master;10;2008-07-11 16:10:00;1;NULL;NULL;25
241;9;B0100057;F0401 - Update Amounts on Supplier Master;10;2008-07-11 16:10:00;1;NULL;NULL;25
242;9;B0100061;Address Book Mini Server;10;2008-07-11 16:10:00;1;NULL;NULL;25
243;9;B0100063;Company For Line of Business;10;2008-07-11 16:10:00;1;NULL;NULL;25
244;9;B0100066;Recursive Relationship Check;10;2008-07-11 16:10:00;1;NULL;NULL;25
245;9;B0100067;Formatted Address With Who's Who;10;2008-07-11 16:10:00;1;NULL;NULL;25
246;9;B0100068;Address Book Word Search Build;10;2008-07-11 16:10:00;1;NULL;NULL;25
247;9;B0100069;Contact Information;10;2008-07-11 16:10:00;1;NULL;NULL;25
248;9;B0100070;Enhanced Parent/child;10;2008-07-11 16:10:00;1;NULL;NULL;25
249;9;B0100071;Related Person MBF;10;2008-07-11 16:10:00;1;NULL;NULL;25
250;9;B0100072;Alternate Address;10;2008-07-11 16:10:00;1;NULL;NULL;25
251;9;B0100073;Electronic Address - Phones;10;2008-07-11 16:10:00;1;NULL;NULL;25
252;9;B0100074;Read Contact Information PO;10;2008-07-11 16:10:00;1;NULL;NULL;25
253;9;B0100075;Customer Master - Read MBF PO Value;10;2008-07-11 16:10:00;1;NULL;NULL;25
254;9;B0100076;Scrub Business Unit for Blanks and Special Characters;10;2008-07-11 16:10:00;1;NULL;NULL;25
255;9;B0100077;Customer Master Real Time Event Notification Function;10;2008-07-11 16:10:00;1;NULL;NULL;25
256;9;B0100078;Get Customer Master Category Codes;10;2008-07-11 16:10:00;1;NULL;NULL;25
257;9;B0100079;Parent Child Structure Master Manage Notify;10;2008-07-11 16:10:00;1;NULL;NULL;25
258;9;B0100081;Retrieve Customer Master Amounts;10;2008-07-11 16:10:00;1;NULL;NULL;25
259;9;B0100083;Supplier Master Real Time Event Notification Function;10;2008-07-11 16:10:00;1;NULL;NULL;25
260;9;B0100084;Postal Codes Validation;10;2008-07-11 16:10:00;1;NULL;NULL;25
261;9;B0100085;Address Book Master Real Time Event Notification Function;10;2008-07-11 16:10:00;1;NULL;NULL;25
262;9;B0100086;Validate Postal Code Deletion;10;2008-07-11 16:10:00;1;NULL;NULL;25
263;9;B0100087;Who's Who MBF;10;2008-07-11 16:10:00;1;NULL;NULL;25
264;9;B0100088;Check Duplicate AB Records;10;2008-07-11 16:10:00;1;NULL;NULL;25
265;9;B0101490;Retrieve F0101 Category Codes;10;2008-07-11 16:10:00;1;NULL;NULL;25
266;9;B0125031;Multi-Level Error Message Functions;10;2008-07-11 16:10:00;1;NULL;NULL;25
267;9;B012505;Tools Send Shortcut;10;2008-07-11 16:10:00;1;NULL;NULL;25
268;9;B01425;Check Effective Date;10;2008-07-11 16:10:00;1;NULL;NULL;25
269;10;B0200003;Advance Date by number of days for Monday thru Friday;10;2008-07-11 16:10:00;1;NULL;NULL;25
270;10;B0200004;Update F0112 Time Log;10;2008-07-11 16:10:00;1;NULL;NULL;25
271;10;B0200006;JDEM- Update message files for status Sent, Clear, Delete;10;2008-07-11 16:10:00;1;NULL;NULL;25
272;10;B0200008;JDEM - Update Message Header for Sender Status;10;2008-07-11 16:10:00;1;NULL;NULL;25
273;10;B0200009;PPAT - Retrieve Bulletin Board Subscriptions;10;2008-07-11 16:10:00;1;NULL;NULL;25
274;10;B0200010;PPAT - Delete F01134 for Passed User Id, Group, Address;10;2008-07-11 16:10:00;1;NULL;NULL;25
275;10;B0200011;PPAT - Add Text and Distribution;10;2008-07-11 16:10:00;1;NULL;NULL;25
276;10;B0200015;Message Text Substitution;10;2008-07-11 16:10:00;1;NULL;NULL;25
277;10;B0200017;Parse Work Flow Connection;10;2008-07-11 16:10:00;1;NULL;NULL;25
278;10;B0200018;PPAT - Check Status of Message;10;2008-07-11 16:10:00;1;NULL;NULL;25
279;10;B0200019;Remove Leading Blanks;10;2008-07-11 16:10:00;1;NULL;NULL;25
280;10;B0200022;PPAT Retrieve Header and Detail;10;2008-07-11 16:10:00;1;NULL;NULL;25
281;10;B0200023;Address Book JDEM Message Summary Print;10;2008-07-11 16:10:00;1;NULL;NULL;25
282;10;B0200024;Format PPAT Quick List Structure;10;2008-07-11 16:10:00;1;NULL;NULL;25
283;10;B0200025;Format Call For ParentChild;10;2008-07-11 16:10:00;1;NULL;NULL;25
284;10;B0200027;F0009 Retrieve JDEM Security Flag;10;2008-07-11 16:10:00;1;NULL;NULL;25
285;10;B0200028;JDEM Edit For New Message;10;2008-07-11 16:10:00;1;NULL;NULL;25
286;10;B0200029;JDEM Validate Msg Deletion;10;2008-07-11 16:10:00;1;NULL;NULL;25
287;10;B0200030;JDEM Priority Filter;10;2008-07-11 16:10:00;1;NULL;NULL;25
288;10;B0200031;F0005 JDEM Retrieve UDC;10;2008-07-11 16:10:00;1;NULL;NULL;25
289;10;B0200032;F0111 Retrieve Whos Who Remark;10;2008-07-11 16:10:00;1;NULL;NULL;25
